Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Staufen Open Air,2022-07-29,2,outdoor,Mixed,"Crossover
Germanrock
Electro
Gothic
Punk
Rock",Baden-Württemberg,"Wanderparkplatz Hohenstaufen Schottengasse Göppingen, DE 73037",500,20.0,10000.0
Wilde Möhre Festival,2022-07-29,4,outdoor,Electronicmusic,"Dance
Electro
ElectronicDanceMusic(EDM)
Funk
Hip-Hop
House
Jazz
Pop
Trance",Brandenburg,"Creativ Center Göritz Göritz5 Drebkau, DE 03116",4000,,
Afrikatage Nürtingen,2022-07-29,3,outdoor,Reggae,"Africa
Reggae",Baden-Württemberg,"Alte Seegrasspinnerei Nürtingen Plochinger Strasse14 Nürtingen, DE 72622",,,
muri L I V E,2022-07-29,2,outdoor,Mixed,"Blues
Country
Jazz
Pop",Switzerland,"Klosterhof Muri Aargau Marktstrasse1 Muri, CH 5630",800,46.0,36800.0
Daistwasim Busch- Das Festival,2022-07-29,3,outdoor,Mixed,"Germanrock
Pop
Punk
Rock
Other",Northrhine-Westphalia,"Wieseam Steinlabyrinth Aachener Weg Viersen, DE 41747",,82.0,
Aerie Festival,2022-07-29,2,outdoor,Rock,"Pop
Rock",LowerSaxony,"Im Wiesengrund Querenhorst, DE 38368",1000,52.74,52740.0
"Sonne, Boat& Sterne Festival",2022-07-30,1,outdoor,Electronicmusic,"Dance
Electro
House",Hamburg,"Überseebrücke Hamburg Hamburg, DE 20459",5500,46.0,253000.0
Terminal X Festival,2022-07-30,1,outdoor,Electronicmusic,"Dance
Electro
Hardcore(Electro)
Hip-Hop",Northrhine-Westphalia,"Am Flughafen Münster/ Osnabrück Joan- Joseph- Fiege- Straße1 Greven, DE 48268",15000,52.67,790050.0
Brilon Laut Open Air,2022-07-30,1,outdoor,Rock,"Germanrock
Punk
Rock",Northrhine-Westphalia,"Campingpark Brilon Hoppeckerstraße75 Brilon, DE 59929",800,29.9,23920.0
Feierdeinbuntes Leben Festival,2022-08-01,7,outdoor,Spiritual,"Other
Sports
Trance",Northrhine-Westphalia,"Leuther Mühle Drosselweg Radevormwald, DE 42477",120,500.0,60000.0
Sabaton Open Air,2022-08-03,4,outdoor,Metal,"Metal
Rock",Sweden,"Falun, SE 79130",8000,,
